,year,state_code,state,abs_gross_drain,abs_gross_gain,abs_net_drain,rel_gross_drain,rel_gross_gain,rel_net_drain,outmigration_rate,abs_stayers,abs_leavers,abs_entrants,rel_stayers,rel_leavers,rel_entrants
377,2010,MT,Montana,10.98,6.76,4.22,10.16,10.82,-0.66,50.7,29.48,40.46,36.24,26.88,37.04,37.7
378,2010,NE,Nebraska,8.78,4.27,4.51,6.64,5.68,0.96,44.81,34.46,43.24,38.73,29.06,35.7,34.74
379,2010,NV,Nevada,7.7,4.57,3.13,8.63,-2.66,11.29,52.4,20.05,27.75,24.62,27.74,36.37,25.08
380,2010,NH,New Hampshire,18.13,17.78,0.35,13.89,12.69,1.2,48.32,26.3,44.43,44.08,25.34,39.23,38.03
381,2010,NJ,New Jersey,9.26,15.33,-6.07,10.03,18.07,-8.04,44.18,36.16,45.42,51.49,27.59,37.62,45.66
382,2010,NM,New Mexico,13.96,14.25,-0.29,14.22,9.67,4.55,44.81,19.11,33.07,33.36,25.76,39.98,35.43
383,2010,NY,New York,9.14,25.04,-15.9,7.97,29.42,-21.45,43.01,36.43,45.57,61.47,28.57,36.54,57.99
384,2010,NC,North Carolina,15.1,16.95,-1.85,14.49,11.35,3.14,26.29,22.54,37.64,39.49,28.18,42.67,39.53
385,2010,ND,North Dakota,13.38,-4.91,18.29,16.47,4.62,11.85,56.05,35.4,48.78,30.49,23.01,39.48,27.63
386,2010,OH,Ohio,17.67,11.52,6.15,18.1,11.19,6.91,33.12,25.52,43.19,37.04,26.01,44.11,37.2
387,2010,OK,Oklahoma,17.48,4.66,12.82,17.1,3.32,13.78,35.42,22.28,39.76,26.94,26,43.1,29.32
388,2010,OR,Oregon,10.15,15.17,-5.02,10.68,11.43,-0.75,42.33,24.52,34.67,39.69,27.49,38.17,38.92
389,2010,PA,Pennsylvania,19.7,11.84,7.86,17.8,11.86,5.94,32.68,29.4,49.1,41.24,26.19,43.99,38.05
390,2010,RI,Rhode Island,20.27,20.07,0.2,17.57,17.71,-0.14,47.7,28.37,48.64,48.44,23.7,41.27,41.41
391,2010,SC,South Carolina,15.38,14.02,1.36,15.18,10.17,5.01,31.62,20.64,36.02,34.66,27.18,42.36,37.35
392,2010,SD,South Dakota,16.49,-0.94,17.43,18.65,6.13,12.52,48.83,31.71,48.2,30.77,22.97,41.62,29.1
393,2010,TN,Tennessee,15.63,12.97,2.66,16.13,9.86,6.27,30.99,21.09,36.72,34.06,27.01,43.14,36.87
394,2010,TX,Texas,11.03,14.42,-3.39,11.52,9.42,2.1,22.44,23.73,34.76,38.15,29.42,40.94,38.84
395,2010,UT,Utah,12,11.02,0.98,11.88,13.08,-1.2,34.12,28.34,40.34,39.36,27.97,39.85,41.05
396,2010,VT,Vermont,31.84,31.26,0.58,30.41,29,1.41,46.99,21.33,53.17,52.59,17.8,48.21,46.8
397,2010,VA,Virginia,14.45,24.67,-10.22,15.12,21.84,-6.72,39.51,25.43,39.88,50.1,26.01,41.13,47.85
398,2010,WA,Washington,10.47,12.27,-1.8,10.38,11.19,-0.81,35.34,26.67,37.14,38.94,28.34,38.72,39.53
399,2010,WV,West Virginia,14.55,3.67,10.88,15.07,-3.95,19.02,41.98,18.87,33.42,22.54,25.7,40.77,21.75
400,2010,WI,Wisconsin,25.71,7.4,18.31,22.59,8.91,13.68,29.37,28.55,54.26,35.95,25.37,47.96,34.28
401,2010,WY,Wyoming,17.57,9.78,7.79,16.88,4.3,12.58,61.56,18.88,36.45,28.66,21.62,38.5,25.92
402,2017,AL,Alabama,16.96,8.15,8.81,17.09,6.05,11.04,29.55,21.07,38.03,29.22,26.96,44.05,33.01
403,2017,AK,Alaska,12.96,10.85,2.11,20.23,8.4,11.83,58.58,18.7,31.66,29.55,20.25,40.48,28.65
404,2017,AZ,Arizona,10.73,12.6,-1.87,14.69,7.42,7.27,36.14,21.23,31.96,33.83,26.71,41.4,34.13
405,2017,AR,Arkansas,8.46,2.94,5.52,11.74,2.23,9.51,34.13,23.97,32.43,26.91,28,39.74,30.23
406,2017,CA,California,2.32,22.52,-20.2,2.84,19.6,-16.76,29.98,28.21,30.53,50.73,31.15,33.99,50.75
