subject_id,loc_plot_state1,loc_plot_city1,date_exposure,plot_target1,attack_preparation,op_security,anticp_fatals_targ,extent_plot,violent,criminal_severity,criminal_charges,indict_arrest,group_membership,terrorist_group_name1,actively_recruited,recruiter1,role_group,length_group,clique,clique_radicalize,clique_connect,internet_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_activities1,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,loc_habitation_state1,loc_habitation_city1,external_rad,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,radicalization_sequence,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,convert,convert_date,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,language_english,diaspora_ties,education,student,education_change,employment_status,work_history,military,foreign_military,social_stratum_adulthood,abuse_child,abuse_adult,abuse_type1,psychological,alcohol_drug,radical_friend,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_age,gang,gang_age_joined,other_ideologies,angry_us,group_grievance,year,month
5050,Arkansas,Burns,1/1/85,15,2,,0,5,1,10,2,4,3,"The Covenant, The Sword, and the Arm of the Lord (CSA)",0,-88,3,,0,-88,-88,-88,-88,-88,-88,-88,0,1,0,0,2,Arkansas,,0,10,5,1,0,0,1,-88,3,44,2,,2,1,,United States of America,1,United States of America,528,0,-88,-88,-88,,0,-88,1,,0,0,,0,0,-88,0,0,0,0,-88,-88,0,-88,0,,,1985,1
5051,Arkansas,,7/1/83,2,,,1,1,1,7,2,4,3,"The Covenant, The Sword, and the Arm of the Lord (CSA)",,,,,1,,,-88,-88,-88,-88,-88,0,1,0,0,2,Arkansas,,,10,5,,,,,,3,68,,1,2,0,-88,United States of America,1,United States of America,816,0,-88,-88,-88,,,,,,,,,0,0,-88,0,0,3,,,,0,-88,0,,,1983,7
5052,District of Columbia,Washington,11/7/83,2,,,,5,0,9,2,4,3,Weather Underground,0,-88,2,,,,,-88,-88,-88,-88,-88,0,0,1,0,7,New York,,,9,5,1,,2,3,,3,43,,,1,0,-88,United States of America,1,United States of America,516,0,-88,-88,-88,9,1,,,,,0,,0,0,-88,0,0,,,,,0,-88,0,1,1,1983,11
5055,Connecticut,Hartford,7/16/92,1,2,2,0,5,1,10,2,4,3,Los Macheteros,,,3,,,,,-88,-88,-88,-88,-88,0,0,0,1,12,Puerto Rico,,0,10,5,1,0,2,1,-88,1,43,2,2,2,0,-88,United States of America,,,,0,-88,-88,-88,11,1,1,1,4,0,0,3,0,0,-88,0,0,,0,-88,-88,0,-88,0,1,3,1992,7
5056,Connecticut,Hartford,3/1/86,1,2,2,0,5,1,10,2,4,3,Armed Forces of National Liberation (FALN),0,-88,2,,0,-88,-88,-88,-88,-88,-88,-88,0,0,0,1,12,Connecticut,,,10,5,1,0,,1,,1,53,,,2,0,-88,United States of America,1,United States of America,,0,-88,,2,11,0,-88,1,4,,,3,0,0,-88,0,0,3,,,,0,-88,0,1,2,1986,3
5059,Minnesota,,11/4/84,2,1,1,1,3,1,8,2,4,2,-88,0,-88,3,,1,0,,-88,-88,-88,-88,-88,0,1,0,0,2,Minnesota,,0,7,5,,,,,-88,3,55,,,2,0,-88,United States of America,1,United States of America,660,0,-88,-88,-88,,0,-88,6,4,,0,3,0,0,-88,0,0,2,2,18,,0,-88,1,1,,1984,11
5060,Oregon,Portland,1/1/84,2,2,,1,3,1,7,2,4,2,-88,1,1,2,,,,,-88,-88,-88,-88,-88,0,1,0,0,4,Oregon,,0,10,5,1,0,,,,3,44,2,4,2,0,-88,United States of America,1,United States of America,528,0,-88,-88,-88,,0,-88,,,0,0,,0,0,-88,0,0,3,,,,0,-88,0,1,1,1984,1
5061,Minnesota,,11/4/84,2,2,,1,3,1,7,2,4,2,-88,,,2,,1,,,-88,-88,-88,-88,-88,0,1,0,0,4,Minnesota,,,10,5,1,0,0,,,3,46,,,2,0,-88,United States of America,1,United States of America,552,0,-88,-88,-88,,0,-88,,,,,,0,0,-88,0,0,,,,,0,-88,0,1,3,1984,11
5062,Minnesota,,1/24/85,2,1,,1,3,1,7,2,4,2,-88,,,,,,,,-88,-88,-88,-88,-88,0,1,0,0,4,Minnesota,,,10,,1,,,,,3,57,,,2,0,-88,United States of America,1,United States of America,684,0,-88,-88,,,0,-88,,,,,,0,0,-88,0,0,,,,,0,-88,0,1,,1985,1
5063,Wisconsin,,1/1/85,-88,-88,-88,-88,0,0,9,2,4,2,-88,0,-88,3,,1,,0,-88,-88,-88,-88,-88,0,1,0,0,4,Wisconsin,,0,6,5,1,0,,,-88,3,56,2,2,2,0,-88,United States of America,1,United States of America,672,0,,-88,-88,,0,-88,1,4,,0,2,0,0,-88,0,0,2,,,,0,-88,0,1,3,1985,1
5064,Oregon,Portland,4/21/85,-88,-88,-88,-88,0,0,0,-88,-88,3,The Order (Silent Brotherhood),1,1,2,20,,,,-88,-88,-88,-88,-88,0,1,0,0,2,Pennsylvania,,0,7,4,,,8,1,-88,3,29,1,1,2,0,-88,United States of America,1,United States of America,348,0,-88,-88,-88,2,1,2,,3,2,0,1,0,0,-88,0,0,3,0,-88,-88,0,-88,0,1,3,1985,4
